e, e_dot, e_int, stamp, 
-0.32250024922106335, 0.28563756214781133, -0.0702128010871689, 1764192508847508634, 
-0.27953673756387465, 0.14321170552396234, -0.061635815733733425, 1764192508987553664, 
-0.19530526881455357, 0.4239832680216993, -0.05315615037329944, 1764192509146908643, 
-0.3099166524247785, -0.10126638286967952, -0.05231724392021378, 1764192509247396795, 
-0.3099166524247785, -0.3820379453674165, -0.05434257157760737, 1764192509247396795, 
-0.24706248084171634, 0.20951390527687389, -0.057793052379418224, 1764192509387434300, 
-0.11066638343785917, 0.6641675632897311, -0.0445097011136236, 1764192509526809781, 
-0.19870418105343002, 0.16119433262762106, -0.0370955363555337, 1764192509647370200, 
-0.19870418105343002, -0.29345932538523617, -0.03387164970298128, 1764192509647370200, 
-0.2768951304876339, -0.260636498114013, -0.04495356617296627, 1764192509787461629, 
-0.09505131561368385, 0.3455095514658206, -0.03804337514364985, 1764192509927322022, 
-0.09505131561368385, 0.6061460495798335, -0.03113318411433344, 1764192509927322022, 
-0.15363793092527445, -0.19528871770530198, -0.02291603747684281, 1764192510088371424, 
-0.19750752841649644, -0.3415207093427086, -0.029746451663696983, 1764192510189299214, 
-0.15211349561096688, 0.005081451047691902, -0.03355059699684918, 1764192510328991649, 
-0.15211349561096688, 0.15131344268509853, -0.03344896797589535, 1764192510328991649, 
-0.15756598295851543, -0.018174957825161837, -0.03078619827869661, 1764192510487323217, 
-0.25476514352388446, -0.3421721597097253, -0.03762964147289112, 1764192510588307435, 
-0.12546383747967238, 0.10700715159614349, -0.035852997597471487, 1764192510727290034, 
-0.12546383747967238, 0.4310043534807069, -0.033712854565548615, 1764192510727290034, 
0.07183314346120695, 0.6576566031362644, -0.011939635433209188, 1764192510887372478, 
0.10022525037993568, 0.7522969595320269, 0.00310630375743135, 1764192511035314268, 
0.09045336708027518, 0.06206741206356078, 0.017500784061427854, 1764192511127565457, 
0.09045336708027518, -0.03257294433220167, 0.01874213230269907, 1764192511127565457, 
0.10671834679507075, 0.05421659904931856, 0.01917500539704141, 1764192511287350911, 
-0.008320966123761764, -0.32924777734678984, 0.012590049850105612, 1764192511435320773, 
-0.008320966123761764, -0.38346437639610836, 0.006005094303169815, 1764192511435320773, 
-0.0690198835513729, -0.20232972475870378, -0.0057107877199264285, 1764192511546865748, 
-0.03035724057974054, -0.07345424818659592, -0.007179872683658346, 1764192511687384568, 
0.16749997459041155, 0.7883995271392815, 0.004541523363953207, 1764192511839313497, 
0.0842649697315041, 0.3820740343708155, 0.014760513582811673, 1764192511976635675, 
0.0842649697315041, -0.2774500161963582, 0.022401994270227984, 1764192511976635675, 
0.09171546262176333, 0.024834976300864103, 0.0173496934723181, 1764192512088338880, 
0.0969453614945659, 0.04226797254353931, 0.01819505292318889, 1764192512238370910, 
0.0969453614945659, 0.01743299624267521, 0.019040412374059675, 1764192512238370910, 
0.17984516929281558, 0.27633269266083227, 0.024915726152129825, 1764192512397975893, 
0.08592952483184768, -0.03671945554239405, 0.024181337041281944, 1764192512488391237, 
0.13413214323302958, -0.15237675353262, 0.02666045582384619, 1764192512637315531, 
0.1566054053749104, 0.23558626847687578, 0.025111138229319176, 1764192512778487953, 
0.1566054053749104, 0.07491087380626944, 0.02982286359885669, 1764192512778487953, 
0.12368622950492236, -0.1097305862332935, 0.029126469350316212, 1764192512937371123, 
0.10260875755261134, -0.17998882607433023, 0.025526692828829606, 1764192513037324566, 
0.10260875755261134, -0.07025823984103674, 0.021926916307343003, 1764192513037324566, 
0.002382874189868822, -0.3340862778758084, 0.0138400259530061, 1764192513176768738, 
0.05813651363730732, -0.14824081305101341, 0.010875209691985832, 1764192513337355598, 
0.0012661745253716994, -0.0037223322149904092, 0.004119037490169856, 1764192513437321538, 
0.0012661745253716994, -0.1895677970397854, 0.0040445908458700474, 1764192513437321538, 
-0.0975094544115942, -0.329252096456553, -0.00633180702405672, 1764192513591680592, 
-0.1881739244234386, -0.6314669964960343, -0.018961146953977406, 1764192513742377818, 
-0.1881739244234386, -0.30221490003948137, -0.031590486883898095, 1764192513742377818, 
-0.13055313292644888, 0.19206930498996577, -0.03379339878488841, 1764192513884471329, 
-0.08560682303844991, 0.3418903379499623, -0.02695559202588916, 1764192513980925663, 
0.022312307632707196, 0.5095514685305202, -0.01292317655547944, 1764192514141379932, 
