x, y,th,stamp
-2.698913336,2.993213654,-2.992552178,1.75952E+18
-2.701509953,2.974121094,-3.011434594,1.75952E+18
-2.703566313,2.954879522,-3.030259025,1.75952E+18
-2.705419064,2.935841084,-3.050390734,1.75952E+18
-2.706966639,2.910550117,-3.076524033,1.75952E+18
-2.70763135,2.897740602,-3.089122633,1.75952E+18
-2.708289146,2.87204504,-3.113789039,1.75952E+18
-2.708400965,2.853248358,-3.132564546,1.75952E+18
-2.708322525,2.833985567,3.13167371,1.75952E+18
-2.707721949,2.815220594,3.112932617,1.75952E+18
-2.706700802,2.79605341,3.093866034,1.75952E+18
-2.705546141,2.776711226,3.073700559,1.75952E+18
-2.703433752,2.751691103,3.047846872,1.75952E+18
-2.702073097,2.738565922,3.03565681,1.75952E+18
-2.699660063,2.719573975,3.017523569,1.75952E+18
-2.695856094,2.693925381,2.992897491,1.75952E+18
-2.692718029,2.675277472,2.974042554,1.75952E+18
-2.689240932,2.656715155,2.954123509,1.75952E+18
-2.685114622,2.637579441,2.934150227,1.75952E+18
-2.680643082,2.618625879,2.914337613,1.75952E+18
-2.676108122,2.600425959,2.895913466,1.75952E+18
-2.671047688,2.581920624,2.877076908,1.75952E+18
-2.663822174,2.55687499,2.850691528,1.75952E+18
-2.658106565,2.539303064,2.830331683,1.75952E+18
-2.651965141,2.520797014,2.811059492,1.75952E+18
-2.645534515,2.502866745,2.791883247,1.75952E+18
-2.63848567,2.484737635,2.774186196,1.75952E+18
-2.631129265,2.466578007,2.755410238,1.75952E+18
-2.623766661,2.449074984,2.737040455,1.75952E+18
-2.615792513,2.431545734,2.717587208,1.75952E+18
-2.607717991,2.414219856,2.697962613,1.75952E+18
-2.596092463,2.391218424,2.671342026,1.75952E+18
-2.587053299,2.374260426,2.652011635,1.75952E+18
-2.577745676,2.35740757,2.6319369,1.75952E+18
-2.568160772,2.34056282,2.611622951,1.75952E+18
-2.558097839,2.324250221,2.591957398,1.75952E+18
-2.547888517,2.308020592,2.573601342,1.75952E+18
-2.537441969,2.292220354,2.554850342,1.75952E+18
-2.522793055,2.271011829,2.528900291,1.75952E+18
-2.511445761,2.255576849,2.509221271,1.75952E+18
-2.499872446,2.239951372,2.490484309,1.75952E+18
-2.487811804,2.224790812,2.472443076,1.75952E+18
-2.47569561,2.209973812,2.45344664,1.75952E+18
-2.463287115,2.195471764,2.433465706,1.75952E+18
-2.446008444,2.17607975,2.406016496,1.75952E+18
-2.432901621,2.16202879,2.385922236,1.75952E+18
-2.423941135,2.152871847,2.373273177,1.75952E+18
-2.405981302,2.134828806,2.348076252,1.75952E+18
-2.391931772,2.121567249,2.329861572,1.75952E+18
-2.377774715,2.10855937,2.311133443,1.75952E+18
-2.36327076,2.09564805,2.291191925,1.75952E+18
-2.348511457,2.083224058,2.272253482,1.75952E+18
-2.333692074,2.070949316,2.252418575,1.75952E+18
-2.318496227,2.059156656,2.23345768,1.75952E+18
-2.303137541,2.047646523,2.214188517,1.75952E+18
-2.282300711,2.032647133,2.188507948,1.75952E+18
-2.266232729,2.022036791,2.169914068,1.75952E+18
-2.250274658,2.011479616,2.151106672,1.75952E+18
-2.234318018,2.00125432,2.131797791,1.75952E+18
-2.218148947,1.991547227,2.111808632,1.75952E+18
-2.195687771,1.978862047,2.086455204,1.75952E+18
