x, y,th,
0.358994633,2.654801369,1.479936115,1.75952E+18
0.375979424,2.656522989,1.438724261,1.75952E+18
0.392174453,2.658619165,1.39682084,1.75952E+18
0.415459931,2.663223982,1.338441253,1.75952E+18
0.43248409,2.667243481,1.295324336,1.75952E+18
0.446480453,2.671296358,1.259711639,1.75952E+18
0.462514132,2.676625252,1.218921497,1.75952E+18
0.478999883,2.682760715,1.175700621,1.75952E+18
0.494820595,2.689489841,1.13455652,1.75952E+18
0.510753155,2.697032452,1.092839442,1.75952E+18
0.529638112,2.707143307,1.041820568,1.75952E+18
0.54459399,2.716103554,1.00093133,1.75952E+18
0.557684898,2.724555969,0.962548217,1.75952E+18
0.572239935,2.734661341,0.920020957,1.75952E+18
0.58624357,2.745509386,0.876687188,1.75952E+18
0.598264635,2.755820513,0.838966878,1.75952E+18
0.611259222,2.767570496,0.795073298,1.75952E+18
0.626227438,2.782747984,0.744607513,1.75952E+18
0.638078153,2.795794964,0.703019098,1.75952E+18
0.649300158,2.809245825,0.662233827,1.75952E+18
0.660110056,2.823459864,0.620181532,1.75952E+18
0.668157756,2.834866285,0.586767573,1.75952E+18
0.677839637,2.849455833,0.544493718,1.75952E+18
0.686541736,2.864390135,0.504292695,1.75952E+18
0.694765508,2.879781485,0.463326828,1.75952E+18
0.704125762,2.898983479,0.411992785,1.75952E+18
0.708389163,2.908926249,0.387765178,1.75952E+18
0.71732229,2.931716204,0.332194092,1.75952E+18
0.72281146,2.948437214,0.292259518,1.75952E+18
0.726782501,2.961817026,0.259806957,1.75952E+18
0.731301308,2.979015827,0.217315437,1.75952E+18
0.735434771,2.997986794,0.17112629,1.75952E+18
0.737701058,3.011928797,0.140285939,1.75952E+18
0.739975572,3.02929306,0.098721434,1.75952E+18
0.7417171,3.046787739,0.056076461,1.75952E+18
0.742506623,3.068209887,0.005917929,1.75952E+18
0.742502928,3.086190701,-0.035353314,1.75952E+18
0.7417714,3.103914738,-0.076084486,1.75952E+18
0.74018693,3.121431589,-0.116469928,1.75952E+18
0.737998128,3.138994932,-0.156396034,1.75952E+18
0.735703826,3.153136492,-0.189497275,1.75952E+18
0.730620861,3.177456141,-0.24710773,1.75952E+18
0.726347566,3.19477582,-0.288717397,1.75952E+18
0.722051322,3.208394766,-0.319790247,1.75952E+18
0.716420293,3.225116968,-0.359313954,1.75952E+18
0.709892213,3.241864204,-0.398675838,1.75952E+18
0.702611923,3.25831151,-0.438108213,1.75952E+18
0.695917726,3.272644997,-0.474387379,1.75952E+18
0.688373566,3.286976814,-0.510295571,1.75952E+18
0.679661155,3.302271128,-0.549789029,1.75952E+18
0.670331657,3.317281485,-0.589626293,1.75952E+18
0.658248723,3.334725618,-0.637602688,1.75952E+18
0.647462726,3.349070311,-0.677654363,1.75952E+18
0.636179209,3.363023996,-0.718222386,1.75952E+18
0.624405682,3.376149416,-0.75623921,1.75952E+18
0.61346072,3.387677908,-0.791946747,1.75952E+18
0.601896703,3.398844242,-0.826802793,1.75952E+18
0.588530064,3.411098719,-0.867404342,1.75952E+18
0.574827433,3.422415018,-0.90784247,1.75952E+18
0.557797194,3.435322046,-0.954915137,1.75952E+18
0.543221056,3.445348263,-0.994429816,1.75952E+18
0.528043091,3.455029488,-1.033885631,1.75952E+18
0.512316287,3.464152575,-1.072787839,1.75952E+18
0.497584909,3.471939802,-1.109326525,1.75952E+18
0.483424693,3.479141474,-1.144142101,1.75952E+18
0.466861099,3.486443281,-1.182452857,1.75952E+18
