e, e_dot, e_int, stamp, 
2.3580050205876004, -0.07897948162063038, 0.45699710890780143, builtin_interfaces.msg.Time(sec=1761339674, nanosec=827650372), 
2.3362352763964567, -0.07554091038645745, 0.45310207544513126, builtin_interfaces.msg.Time(sec=1761339674, nanosec=923717574), 
2.3215884703525345, -0.050821389398927254, 0.37307062824445214, builtin_interfaces.msg.Time(sec=1761339674, nanosec=987177054), 
2.2883055429586583, -0.17482508730440363, 0.48131445310781223, builtin_interfaces.msg.Time(sec=1761339675, nanosec=131594983), 
2.2646443697749037, -0.05461273252241555, 0.5511730764797971, builtin_interfaces.msg.Time(sec=1761339675, nanosec=227705092), 
2.241799601971714, -0.07923123467754246, 0.4338943763047212, builtin_interfaces.msg.Time(sec=1761339675, nanosec=323166891), 
2.2147039484307616, -0.09461255296111538, 0.46592029078875347, builtin_interfaces.msg.Time(sec=1761339675, nanosec=435669697), 
2.190796564737012, -0.07083492564546809, 0.46183625822327706, builtin_interfaces.msg.Time(sec=1761339675, nanosec=531598698), 
2.1669468707641286, -0.08287272783087911, 0.4206154254747495, builtin_interfaces.msg.Time(sec=1761339675, nanosec=627660017), 
2.1387626880657815, -0.09779927721079595, 0.4498619050950793, builtin_interfaces.msg.Time(sec=1761339675, nanosec=739338934), 
2.1147520062208818, -0.07166581508814757, 0.4451902057299875, builtin_interfaces.msg.Time(sec=1761339675, nanosec=835677868), 
2.08960308812121, -0.08701541891558114, 0.4086289250167101, builtin_interfaces.msg.Time(sec=1761339675, nanosec=932601430), 
2.064558402908991, -0.08613208420954528, 0.4002563707136308, builtin_interfaces.msg.Time(sec=1761339676, nanosec=27221285), 
2.0392251310169462, -0.08924579269345638, 0.39481618999047363, builtin_interfaces.msg.Time(sec=1761339676, nanosec=123845517), 
2.0097848951079116, -0.10156263875585807, 0.42480542283653816, builtin_interfaces.msg.Time(sec=1761339676, nanosec=235678307), 
1.9839817350992845, -0.0769099414957725, 0.41780544502241396, builtin_interfaces.msg.Time(sec=1761339676, nanosec=331605843), 
1.9588320211938528, -0.08739136141761474, 0.3808778382317118, builtin_interfaces.msg.Time(sec=1761339676, nanosec=427633717), 
